,Isaiah1_39.txt,Isaiah56_66.txt
abhor,0.693147181,0.693147181
abraham,0.693147181,0.693147181
afraid,1.945910149,0.693147181
aloud,1.098612289,0.693147181
ambassador,1.386294361,0.693147181
angel,0.693147181,0.693147181
anoint,0.693147181,0.693147181
appoint,1.609437912,0.693147181
backward,1.386294361,0.693147181
band,0.693147181,0.693147181
basilisk,1.098612289,0.693147181
beseech,0.693147181,0.693147181
bind,1.098612289,0.693147181
birth,0.693147181,0.693147181
blasphem,1.098612289,0.693147181
boil,0.693147181,0.693147181
border,1.386294361,0.693147181
bore,1.098612289,0.693147181
bound,1.609437912,0.693147181
bozrah,0.693147181,0.693147181
branch,1.791759469,0.693147181
breach,1.386294361,0.693147181
bread,2.302585093,0.693147181
breaketh,0.693147181,0.693147181
brick,0.693147181,0.693147181
bringeth,1.098612289,0.693147181
broad,1.098612289,0.693147181
broke,0.693147181,0.693147181
broken,2.995732274,0.693147181
burnt,1.098612289,0.693147181
calleth,0.693147181,0.693147181
captiv,1.791759469,0.693147181
caravan,0.693147181,0.693147181
carcass,1.386294361,0.693147181
cattl,0.693147181,0.693147181
child,2.397895273,0.693147181
clay,0.693147181,0.693147181
clean,1.609437912,0.693147181
cleft,0.693147181,0.693147181
cloak,1.098612289,0.693147181
cloud,2.197224577,0.693147181
come,1.386294361,0.693147181
confus,1.386294361,0.693147181
consid,1.098612289,0.693147181
corn,1.609437912,0.693147181
court,0.693147181,0.693147181
crimson,0.693147181,0.693147181
crown,1.791759469,0.693147181
crush,1.609437912,0.693147181
curs,1.098612289,0.693147181
cut,2.63905733,0.693147181
cypress,1.098612289,0.693147181
dash,1.098612289,0.693147181
dead,1.945910149,0.693147181
deep,1.609437912,0.693147181
deepli,0.693147181,0.693147181
defil,1.098612289,0.693147181
depart,2.079441542,0.693147181
despis,1.386294361,0.693147181
devour,2.564949357,0.693147181
dispers,1.098612289,0.693147181
distress,1.791759469,0.693147181
divid,1.791759469,0.693147181
door,1.098612289,0.693147181
dost,1.098612289,0.693147181
dri,2.079441542,0.693147181
driven,0.693147181,0.693147181
drunk,1.098612289,0.693147181
dumb,0.693147181,0.693147181
dust,2.48490665,0.693147181
eateth,1.386294361,0.693147181
edom,1.386294361,0.693147181
ensign,2.079441542,0.693147181
enter,1.945910149,0.693147181
ephah,0.693147181,0.693147181
err,1.791759469,0.693147181
escap,1.945910149,0.693147181
establish,1.791759469,0.693147181
excel,1.386294361,0.693147181
except,1.098612289,0.693147181
fade,1.098612289,0.693147181
field,2.833213344,0.693147181
flame,2.079441542,0.693147181
fli,1.791759469,0.693147181
flood,1.098612289,0.693147181
fold,0.693147181,0.693147181
follow,0.693147181,0.693147181
foot,1.945910149,0.693147181
forest,2.48490665,0.693147181
forgotten,1.386294361,0.693147181
forsak,0.693147181,0.693147181
fought,0.693147181,0.693147181
found,2.48490665,0.693147181
foundat,1.609437912,0.693147181
gain,1.386294361,0.693147181
gathereth,1.791759469,0.693147181
gaze,0.693147181,0.693147181
goeth,1.098612289,0.693147181
gone,2.197224577,0.693147181
grass,1.386294361,0.693147181
grave,0.693147181,0.693147181
griev,0.693147181,0.693147181
growl,0.693147181,0.693147181
growth,0.693147181,0.693147181
habit,2.197224577,0.693147181
happi,1.098612289,0.693147181
harlot,1.386294361,0.693147181
hasten,0.693147181,0.693147181
hatch,0.693147181,0.693147181
held,0.693147181,0.693147181
help,1.945910149,0.693147181
henceforth,0.693147181,0.693147181
herd,0.693147181,0.693147181
hide,2.302585093,0.693147181
highway,1.945910149,0.693147181
hill,2.302585093,0.693147181
hope,0.693147181,0.693147181
horn,1.098612289,0.693147181
hurt,0.693147181,0.693147181
idol,2.48490665,0.693147181
increas,1.609437912,0.693147181
indign,1.945910149,0.693147181
inflam,0.693147181,0.693147181
island,0.693147181,0.693147181
jewel,0.693147181,0.693147181
judah,3.17805383,0.693147181
kedar,1.098612289,0.693147181
kindleth,0.693147181,0.693147181
kingdom,2.63905733,0.693147181
knee,0.693147181,0.693147181
knoweth,1.386294361,0.693147181
layeth,0.693147181,0.693147181
leaf,1.098612289,0.693147181
leav,1.098612289,0.693147181
lebanon,2.079441542,0.693147181
led,0.693147181,0.693147181
lion,2.48490665,0.693147181
lodg,1.791759469,0.693147181
loos,1.386294361,0.693147181
lot,1.386294361,0.693147181
mantl,1.386294361,0.693147181
mean,0.693147181,0.693147181
mention,1.386294361,0.693147181
midian,1.098612289,0.693147181
milk,1.098612289,0.693147181
mind,1.098612289,0.693147181
mingl,1.098612289,0.693147181
mire,0.693147181,0.693147181
morn,2.397895273,0.693147181
mother,0.693147181,0.693147181
multipli,0.693147181,0.693147181
multitud,2.302585093,0.693147181
nake,1.386294361,0.693147181
neck,1.609437912,0.693147181
nether,2.197224577,0.693147181
nigh,0.693147181,0.693147181
noonday,0.693147181,0.693147181
nose,1.098612289,0.693147181
offic,0.693147181,0.693147181
oil,1.098612289,0.693147181
one,2.63905733,0.693147181
ourselv,0.693147181,0.693147181
overflow,1.945910149,0.693147181
pain,1.791759469,0.693147181
perceiv,1.098612289,0.693147181
perish,1.386294361,0.693147181
pervers,1.098612289,0.693147181
piti,0.693147181,0.693147181
pleas,0.693147181,0.693147181
pleasant,1.386294361,0.693147181
pollut,0.693147181,0.693147181
post,1.098612289,0.693147181
potter,1.098612289,0.693147181
prepar,1.386294361,0.693147181
prey,2.079441542,0.693147181
profit,1.386294361,0.693147181
provok,0.693147181,0.693147181
quench,1.098612289,0.693147181
raiment,0.693147181,0.693147181
ram,1.098612289,0.693147181
rebelli,1.386294361,0.693147181
rebuk,1.791759469,0.693147181
red,0.693147181,0.693147181
refug,1.945910149,0.693147181
rejoiceth,1.098612289,0.693147181
restor,0.693147181,0.693147181
restrain,0.693147181,0.693147181
return,2.708050201,0.693147181
reveal,1.098612289,0.693147181
reward,1.098612289,0.693147181
ride,0.693147181,0.693147181
river,2.564949357,0.693147181
robe,1.098612289,0.693147181
rock,2.63905733,0.693147181
round,1.791759469,0.693147181
rule,1.945910149,0.693147181
sackcloth,2.079441542,0.693147181
saidst,0.693147181,0.693147181
sanctifi,1.609437912,0.693147181
say,3.258096538,0.693147181
seek,2.302585093,0.693147181
sent,2.48490665,0.693147181
serpent,1.791759469,0.693147181
serv,0.693147181,0.693147181
shame,1.791759469,0.693147181
sharon,1.098612289,0.693147181
shine,1.386294361,0.693147181
ship,1.609437912,0.693147181
sign,2.197224577,0.693147181
sing,2.564949357,0.693147181
sinner,1.386294361,0.693147181
sit,1.945910149,0.693147181
slain,2.397895273,0.693147181
slaughter,1.945910149,0.693147181
slumber,0.693147181,0.693147181
smite,2.079441542,0.693147181
smoke,2.079441542,0.693147181
smooth,0.693147181,0.693147181
sole,1.098612289,0.693147181
sorrow,0.693147181,0.693147181
sown,0.693147181,0.693147181
spare,1.386294361,0.693147181
standeth,1.386294361,0.693147181
state,0.693147181,0.693147181
stay,2.079441542,0.693147181
straw,1.098612289,0.693147181
stream,2.197224577,0.693147181
swear,1.098612289,0.693147181
swift,1.791759469,0.693147181
sworn,0.693147181,0.693147181
tabl,1.098612289,0.693147181
templ,0.693147181,0.693147181
terror,2.564949357,0.693147181
therein,2.302585093,0.693147181
thirsti,1.609437912,0.693147181
thither,1.098612289,0.693147181
thousand,1.791759469,0.693147181
throne,1.945910149,0.693147181
trampl,1.386294361,0.693147181
treadeth,1.098612289,0.693147181
trembleth,1.098612289,0.693147181
tribe,0.693147181,0.693147181
trust,2.302585093,0.693147181
twilight,0.693147181,0.693147181
unclean,1.609437912,0.693147181
uncov,1.098612289,0.693147181
understand,2.48490665,0.693147181
uphold,0.693147181,0.693147181
uproar,1.945910149,0.693147181
vain,1.386294361,0.693147181
vaniti,0.693147181,0.693147181
vineyard,2.63905733,0.693147181
viper,0.693147181,0.693147181
virgin,1.386294361,0.693147181
wail,1.098612289,0.693147181
wait,2.079441542,0.693147181
walketh,0.693147181,0.693147181
weari,2.197224577,0.693147181
weav,0.693147181,0.693147181
weep,2.302585093,0.693147181
west,1.098612289,0.693147181
wherea,0.693147181,0.693147181
whereof,1.098612289,0.693147181
whirlwind,1.386294361,0.693147181
wolf,0.693147181,0.693147181
womb,0.693147181,0.693147181
world,2.995732274,0.693147181
worm,0.693147181,0.693147181
worship,1.945910149,0.693147181
wrath,1.791759469,0.693147181
written,0.693147181,0.693147181
abomin,0.693147181,1.098612289
acknowledg,0.693147181,1.098612289
act,1.098612289,1.098612289
afar,1.386294361,1.098612289
altar,1.945910149,1.098612289
apparel,0.693147181,1.098612289
aris,1.609437912,1.098612289
asham,2.197224577,1.098612289
bear,1.791759469,1.098612289
beauti,2.079441542,1.098612289
besid,1.098612289,1.098612289
blind,1.609437912,1.098612289
bone,0.693147181,1.098612289
break,2.079441542,1.098612289
breast,1.098612289,1.098612289
breath,1.945910149,1.098612289
burn,2.564949357,1.098612289
burneth,0.693147181,1.098612289
camel,1.098612289,1.098612289
carri,2.079441542,1.098612289
causeth,0.693147181,1.098612289
chariot,1.945910149,1.098612289
choos,1.386294361,1.098612289
cloth,1.609437912,1.098612289
conceiv,1.386294361,1.098612289
concern,2.397895273,1.098612289
consum,1.791759469,1.098612289
contend,0.693147181,1.098612289
deal,1.945910149,1.098612289
deliv,2.944438979,1.098612289
destruct,2.397895273,1.098612289
diadem,0.693147181,1.098612289
die,1.945910149,1.098612289
do,1.609437912,1.098612289
dove,0.693147181,1.098612289
ear,2.995732274,1.098612289
egg,0.693147181,1.098612289
enlarg,0.693147181,1.098612289
fail,1.945910149,1.098612289
falsehood,0.693147181,1.098612289
favour,0.693147181,1.098612289
fill,2.397895273,1.098612289
finger,1.098612289,1.098612289
fruit,3.091042453,1.098612289
glad,2.079441542,1.098612289
gloom,1.098612289,1.098612289
head,2.890371758,1.098612289
heavi,1.098612289,1.098612289
honour,2.302585093,1.098612289
hors,1.945910149,1.098612289
hundr,0.693147181,1.098612289
inhabit,3.258096538,1.098612289
iron,0.693147181,1.098612289
isl,0.693147181,1.098612289
join,1.386294361,1.098612289
knowledg,2.079441542,1.098612289
laid,2.564949357,1.098612289
lamb,1.791759469,1.098612289
lead,1.609437912,1.098612289
lip,2.197224577,1.098612289
lofti,2.397895273,1.098612289
maketh,1.609437912,1.098612289
measur,1.098612289,1.098612289
merci,0.693147181,1.098612289
night,2.944438979,1.098612289
offspr,1.098612289,1.098612289
oppress,1.945910149,1.098612289
ox,1.386294361,1.098612289
poor,2.302585093,1.098612289
portion,0.693147181,1.098612289
possess,1.791759469,1.098612289
pour,1.386294361,1.098612289
prayer,1.609437912,1.098612289
rais,1.386294361,1.098612289
rebel,1.609437912,1.098612289
remain,1.098612289,1.098612289
saviour,0.693147181,1.098612289
send,2.197224577,1.098612289
shepherd,1.386294361,1.098612289
shut,1.945910149,1.098612289
silver,2.079441542,1.098612289
slay,1.386294361,1.098612289
smote,2.197224577,1.098612289
spoke,1.945910149,1.098612289
spoken,2.63905733,1.098612289
spread,2.197224577,1.098612289
stand,2.302585093,1.098612289
stranger,1.791759469,1.098612289
strong,2.833213344,1.098612289
sword,2.890371758,1.098612289
tarshish,1.791759469,1.098612289
terebinth,1.386294361,1.098612289
thereof,3.713572067,1.098612289
till,1.791759469,1.098612289
travail,1.609437912,1.098612289
trembl,2.079441542,1.098612289
trodden,1.945910149,1.098612289
troubl,2.197224577,1.098612289
upright,1.386294361,1.098612289
utter,2.302585093,1.098612289
vessel,1.791759469,1.098612289
violenc,1.098612289,1.098612289
wick,2.079441542,1.098612289
wind,2.079441542,1.098612289
wood,1.609437912,1.098612289
yourselv,1.609437912,1.098612289
zeal,1.386294361,1.098612289
abund,1.386294361,1.386294361
adversari,1.386294361,1.386294361
anger,2.890371758,1.386294361
beast,1.791759469,1.386294361
blood,2.48490665,1.386294361
born,1.098612289,1.386294361
compass,1.609437912,1.386294361
continu,0.693147181,1.386294361
creat,0.693147181,1.386294361
daughter,2.708050201,1.386294361
declar,1.791759469,1.386294361
destroy,3.044522438,1.386294361
dog,1.098612289,1.386294361
doth,2.833213344,1.386294361
dwell,2.944438979,1.386294361
feed,1.791759469,1.386294361
feet,2.079441542,1.386294361
former,0.693147181,1.386294361
forsaken,2.397895273,1.386294361
gate,2.302585093,1.386294361
generat,1.945910149,1.386294361
glorifi,1.098612289,1.386294361
gold,2.302585093,1.386294361
hark,1.098612289,1.386294361
heal,1.386294361,1.386294361
humbl,1.386294361,1.386294361
hungri,1.791759469,1.386294361
keepeth,0.693147181,1.386294361
lift,2.890371758,1.386294361
memori,1.098612289,1.386294361
midst,2.890371758,1.386294361
moon,1.791759469,1.386294361
pass,3.912023005,1.386294361
path,1.609437912,1.386294361
priest,1.609437912,1.386294361
pursu,0.693147181,1.386294361
rise,2.302585093,1.386294361
sacrific,1.386294361,1.386294361
sanctuari,1.098612289,1.386294361
satisfi,0.693147181,1.386294361
sea,2.995732274,1.386294361
set,2.708050201,1.386294361
sore,1.945910149,1.386294361
sought,1.098612289,1.386294361
stone,2.397895273,1.386294361
strength,2.302585093,1.386294361
stumbl,1.609437912,1.386294361
sun,2.197224577,1.386294361
time,2.564949357,1.386294361
tongu,2.197224577,1.386294361
vengeanc,1.098612289,1.386294361
walk,2.564949357,1.386294361
wherefor,2.079441542,1.386294361
wherein,1.609437912,1.386294361
wilder,2.48490665,1.386294361
wilt,1.386294361,1.386294361
yoke,1.609437912,1.386294361
alien,0.693147181,1.609437912
am,2.833213344,1.609437912
answer,2.079441542,1.609437912
arm,1.791759469,1.609437912
art,2.63905733,1.609437912
bed,0.693147181,1.609437912
bow,2.197224577,1.609437912
chosen,0.693147181,1.609437912
cometh,2.48490665,1.609437912
comfort,0.693147181,1.609437912
coven,1.609437912,1.609437912
cri,2.772588722,1.609437912
fear,2.63905733,1.609437912
flock,1.098612289,1.609437912
garden,1.386294361,1.609437912
hid,1.098612289,1.609437912
inherit,0.693147181,1.609437912
lie,2.708050201,1.609437912
mighti,2.708050201,1.609437912
plant,2.079441542,1.609437912
presenc,1.386294361,1.609437912
proclaim,0.693147181,1.609437912
save,2.079441542,1.609437912
sin,2.397895273,1.609437912
spring,0.693147181,1.609437912
suck,0.693147181,1.609437912
sure,1.945910149,1.609437912
