first,second,groupauthor,secondauthor,grouptheme,secondtheme,cosine
1,2,1,1,1,1,0.147617993
1,3,1,1,1,1,0.090442481
1,4,1,1,1,1,0.218362063
1,5,1,1,1,1,0.116528253
1,6,1,1,1,1,0.358555162
1,7,1,1,1,1,0.099599542
1,8,1,1,1,1,0.006046235
1,9,1,1,1,1,0.248472045
1,10,1,1,1,1,0.101396477
1,11,1,1,1,1,0.055751228
1,12,1,1,1,1,0.260350358
1,13,1,1,1,1,0.139347813
1,14,1,1,1,1,0.073773812
1,15,1,1,1,1,0.101238079
1,16,1,1,1,1,0.156166361
1,17,1,1,1,1,0.221537672
1,18,1,1,1,1,0.392118251
1,19,1,1,1,1,0.09144481
1,20,1,1,1,1,0.064837566
1,21,1,1,1,1,0.067342506
1,22,1,1,1,1,0.084442654
1,23,1,1,1,1,0.106208799
1,24,1,1,1,1,0.087156293
1,25,1,1,1,1,0.181057558
1,26,1,1,1,1,0.191515064
1,27,1,1,1,1,0.122343624
1,28,1,1,1,1,0.073398121
1,29,1,1,1,1,0.082614159
1,30,1,1,1,1,0.101697909
1,31,1,1,1,1,0.376486034
1,32,1,1,1,1,0.148872758
1,33,1,1,1,1,0.145135109
1,34,1,1,1,1,0.209512222
1,35,1,1,1,1,0.120191796
1,36,1,1,1,1,0.04503644
1,37,1,1,1,1,0.116055913
1,38,1,1,1,1,0.085790416
1,39,1,1,1,1,0.170225588
1,40,1,2,1,2,0.088717879
1,41,1,2,1,2,0.189283603
1,42,1,2,1,2,0.174089068
1,43,1,2,1,2,0.267239052
1,44,1,2,1,2,0.08966046
1,45,1,2,1,2,0.165430314
1,46,1,2,1,2,0.27518243
1,47,1,2,1,2,0.139404654
1,48,1,2,1,2,0.226158834
1,49,1,2,1,2,0.22305564
1,50,1,2,1,2,0.209500994
1,51,1,2,1,2,0.119595498
1,52,1,2,1,2,0.210040212
1,53,1,2,1,2,0.168060363
1,54,1,2,1,2,0.149105277
1,55,1,2,1,2,0.353367722
1,56,1,3,1,2,0.29025457
1,57,1,3,1,2,0.033024677
1,58,1,3,1,2,0.23638423
1,59,1,3,1,2,0.182350828
1,60,1,3,1,2,0.088010344
1,61,1,3,1,2,0.213489359
1,62,1,3,1,2,0.253011024
1,63,1,3,1,2,0.181311822
1,64,1,3,1,2,0.210248897
1,65,1,3,1,2,0.111188627
1,66,1,3,1,2,0.240761022
2,3,1,1,1,1,0.416511586
2,4,1,1,1,1,0.670445642
2,5,1,1,1,1,0.257362907
2,6,1,1,1,1,0.674996918
2,7,1,1,1,1,0.279735539
2,8,1,1,1,1,0.311601047
2,9,1,1,1,1,0.355535241
2,10,1,1,1,1,0.386807283
2,11,1,1,1,1,0.616810659
2,12,1,1,1,1,0.659830841
2,13,1,1,1,1,0.763093154
2,14,1,1,1,1,0.192519208
2,15,1,1,1,1,0.363629154
2,16,1,1,1,1,0.438834876
2,17,1,1,1,1,0.65726504
2,18,1,1,1,1,0.670310018
2,19,1,1,1,1,0.124103761
2,20,1,1,1,1,0.489005258
2,21,1,1,1,1,0.309607305
2,22,1,1,1,1,0.139453541
2,23,1,1,1,1,0.556231481
2,24,1,1,1,1,0.494454408
2,25,1,1,1,1,0.698777354
2,26,1,1,1,1,0.69133035
2,27,1,1,1,1,0.637716808
2,28,1,1,1,1,0.091079433
2,29,1,1,1,1,0.158505241
2,30,1,1,1,1,0.245511659
2,31,1,1,1,1,0.566250821
2,32,1,1,1,1,0.174100915
2,33,1,1,1,1,0.376488845
2,34,1,1,1,1,0.568205282
2,35,1,1,1,1,0.372032763
2,36,1,1,1,1,0.153238601
2,37,1,1,1,1,0.350230451
2,38,1,1,1,1,0.511991243
2,39,1,1,1,1,0.564424247
2,40,1,2,1,2,0.416427013
2,41,1,2,1,2,0.227313888
2,42,1,2,1,2,0.492800755
2,43,1,2,1,2,0.40628519
2,44,1,2,1,2,0.114229577
2,45,1,2,1,2,0.464756766
2,46,1,2,1,2,0.390267156
2,47,1,2,1,2,0.174956778
2,48,1,2,1,2,0.445076505
2,49,1,2,1,2,0.526019361
2,50,1,2,1,2,0.120605869
2,51,1,2,1,2,0.072022709
2,52,1,2,1,2,0.517776121
2,53,1,2,1,2,0.145005103
2,54,1,2,1,2,0.341820568
2,55,1,2,1,2,0.410472011
2,56,1,3,1,2,0.44491514
2,57,1,3,1,2,0.174785364
2,58,1,3,1,2,0.332993131
2,59,1,3,1,2,0.129864364
2,60,1,3,1,2,0.61838432
2,61,1,3,1,2,0.331467998
2,62,1,3,1,2,0.559003135
2,63,1,3,1,2,0.149921869
2,64,1,3,1,2,0.291629348
2,65,1,3,1,2,0.307402985
2,66,1,3,1,2,0.376347817
3,4,1,1,1,1,0.454205163
3,5,1,1,1,1,0.127433049
3,6,1,1,1,1,0.296215231
3,7,1,1,1,1,0.041345692
3,8,1,1,1,1,-0.019431264
3,9,1,1,1,1,0.328151034
3,10,1,1,1,1,0.10240596
3,11,1,1,1,1,0.445735534
3,12,1,1,1,1,0.300790168
3,13,1,1,1,1,0.197124054
3,14,1,1,1,1,0.051965875
3,15,1,1,1,1,0.030321933
3,16,1,1,1,1,-0.002303041
3,17,1,1,1,1,0.003196688
3,18,1,1,1,1,0.107305567
3,19,1,1,1,1,0.157327267
3,20,1,1,1,1,0.194778073
3,21,1,1,1,1,-0.023031545
3,22,1,1,1,1,0.183701183
3,23,1,1,1,1,0.055417102
3,24,1,1,1,1,-0.091055592
3,25,1,1,1,1,0.259605144
3,26,1,1,1,1,0.304347374
3,27,1,1,1,1,0.13302867
3,28,1,1,1,1,0.088477011
3,29,1,1,1,1,0.06143608
3,30,1,1,1,1,0.091605044
3,31,1,1,1,1,0.343364383
3,32,1,1,1,1,0.088905532
3,33,1,1,1,1,0.101625963
3,34,1,1,1,1,0.037600459
3,35,1,1,1,1,0.161333093
3,36,1,1,1,1,0.078536945
3,37,1,1,1,1,0.097642028
3,38,1,1,1,1,0.081347005
3,39,1,1,1,1,0.198257594
3,40,1,2,1,2,0.062651589
3,41,1,2,1,2,0.130554378
3,42,1,2,1,2,0.137723432
3,43,1,2,1,2,0.084601111
3,44,1,2,1,2,0.073879321
3,45,1,2,1,2,0.113485983
3,46,1,2,1,2,0.098813979
3,47,1,2,1,2,0.088314666
3,48,1,2,1,2,0.135301114
3,49,1,2,1,2,0.23711995
3,50,1,2,1,2,0.098554859
3,51,1,2,1,2,0.070784422
3,52,1,2,1,2,0.260402029
3,53,1,2,1,2,0.209656574
3,54,1,2,1,2,0.148934383
3,55,1,2,1,2,0.368682691
3,56,1,3,1,2,0.138094363
3,57,1,3,1,2,-0.024277921
3,58,1,3,1,2,0.307858016
3,59,1,3,1,2,0.12741165
3,60,1,3,1,2,0.135617866
3,61,1,3,1,2,0.175295361
3,62,1,3,1,2,0.219966588
3,63,1,3,1,2,-0.020035921
3,64,1,3,1,2,0.065535919
3,65,1,3,1,2,0.176667664
3,66,1,3,1,2,0.073949929
4,5,1,1,1,1,0.25533324
4,6,1,1,1,1,0.807971918
4,7,1,1,1,1,0.272827292
4,8,1,1,1,1,0.145150272
4,9,1,1,1,1,0.528734762
4,10,1,1,1,1,0.35251917
4,11,1,1,1,1,0.651974198
4,12,1,1,1,1,0.7011593
4,13,1,1,1,1,0.624484106
4,14,1,1,1,1,0.336750847
4,15,1,1,1,1,0.318449807
4,16,1,1,1,1,0.423466765
4,17,1,1,1,1,0.671299272
4,18,1,1,1,1,0.530297239
4,19,1,1,1,1,0.319494023
4,20,1,1,1,1,0.515061544
4,21,1,1,1,1,0.429936193
4,22,1,1,1,1,0.233631422
4,23,1,1,1,1,0.439353358
4,24,1,1,1,1,0.406151587
4,25,1,1,1,1,0.75442891
4,26,1,1,1,1,0.558066327
4,27,1,1,1,1,0.783911289
4,28,1,1,1,1,0.383890981
4,29,1,1,1,1,0.240473382
4,30,1,1,1,1,0.631892078
4,31,1,1,1,1,0.733680706
4,32,1,1,1,1,0.464910903
4,33,1,1,1,1,0.265215988
4,34,1,1,1,1,0.661418415
4,35,1,1,1,1,0.597981503
4,36,1,1,1,1,0.325970058
4,37,1,1,1,1,0.386680634
4,38,1,1,1,1,0.498830271
4,39,1,1,1,1,0.575887462
4,40,1,2,1,2,0.166912983
4,41,1,2,1,2,0.331477039
4,42,1,2,1,2,0.576102188
4,43,1,2,1,2,0.472867379
4,44,1,2,1,2,0.332105165
4,45,1,2,1,2,0.489332034
4,46,1,2,1,2,0.389939325
4,47,1,2,1,2,0.285874234
4,48,1,2,1,2,0.556863936
4,49,1,2,1,2,0.485458628
4,50,1,2,1,2,0.409334978
4,51,1,2,1,2,0.34051923
4,52,1,2,1,2,0.532142785
4,53,1,2,1,2,0.32384117
4,54,1,2,1,2,0.443867788
4,55,1,2,1,2,0.598627805
4,56,1,3,1,2,0.552405492
4,57,1,3,1,2,0.379227437
4,58,1,3,1,2,0.531090633
4,59,1,3,1,2,0.30347912
4,60,1,3,1,2,0.52632845
4,61,1,3,1,2,0.447872925
4,62,1,3,1,2,0.641827572
4,63,1,3,1,2,0.393745569
4,64,1,3,1,2,0.478460523
4,65,1,3,1,2,0.510333975
4,66,1,3,1,2,0.44891352
5,6,1,1,1,1,0.409866153
5,7,1,1,1,1,0.108775462
5,8,1,1,1,1,0.102944258
5,9,1,1,1,1,0.150151066
5,10,1,1,1,1,0.115421343
5,11,1,1,1,1,0.225259293
5,12,1,1,1,1,0.338588975
5,13,1,1,1,1,0.241521273
5,14,1,1,1,1,0.108406816
5,15,1,1,1,1,0.126148502
5,16,1,1,1,1,0.120412581
5,17,1,1,1,1,0.388684141
5,18,1,1,1,1,0.141493534
5,19,1,1,1,1,0.045929173
